,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
21,2304290007,e_e000009,6,호텔 프라하,2023-04-29,2023-04-30,경기 평택시 통복로26번길 11,경기 평택시 통복동 114-10,127.0833377,36.994097,,,POI02001TR033794V,호텔프라하,1290.0,24,N,8.0,2.0,1.0,1.0,1.0,
104,2304290005,e_e000020,5,파르티아 워터하우스,2023-04-29,2023-04-29,경기 가평군 설악면 미사리로 707-96,경기 가평군 설악면 미사리 500-1,127.5406989,37.7178039,,,POI02001TR030518V,파로티아워터하우스,0.0,24,N,8.0,1.0,4.0,3.0,4.0,
106,2304290007,e_e000020,7,파르티아 워터하우스,2023-04-29,2023-04-30,경기 가평군 설악면 미사리로 707-96,경기 가평군 설악면 미사리 500-1,127.5406989,37.7178039,,,POI02001TR030518V,파로티아워터하우스,150.0,24,N,8.0,1.0,4.0,3.0,4.0,
116,2304290004,e_e000021,6,호텔 헤르메스,2023-04-29,2023-04-29,경기 화성시 남양읍 역골로 9-28,경기 화성시 남양읍 남양리 2076,126.8272198,37.2004357,,,POI02001TR033799V,호텔헤르메스,120.0,24,N,7.0,1.0,4.0,4.0,4.0,
119,2304290007,e_e000021,9,호텔 헤르메스,2023-04-29,2023-04-30,경기 화성시 남양읍 역골로 9-28,경기 화성시 남양읍 남양리 2076,126.8272198,37.2004357,,,POI02001TR033799V,호텔헤르메스,180.0,24,Y,11.0,1.0,4.0,4.0,4.0,
158,2304280009,e_e000038,4,호텔 더 메이,2023-04-28,2023-04-29,경기 화성시 팔탄면 버들로1597번길 14-13,경기 화성시 팔탄면 월문리 235-36,126.8767817,37.1159136,,,POI02001TR033522V,호텔 더 메이,240.0,24,N,2.0,1.0,5.0,5.0,5.0,
230,2305190003,e_e000294,3,한화리조트 용인 베잔송,2023-05-19,2023-05-20,경기 용인시 처인구 남사읍 봉무로153번길 79,경기 용인시 처인구 남사읍 봉무리 257-1,127.1441266,37.1316613,,,POI01000000AMGCVF,째깍섬 한화용인센터,570.0,24,N,11.0,4.0,4.0,2.0,3.0,
232,2305200002,e_e000294,5,봉화 회관,2023-05-20,2023-05-21,경기 용인시 처인구 포곡읍 부곡로 21,경기 용인시 처인구 포곡읍 전대리 164-3,127.2193463,37.2806669,,,POI01000000BGMNLH,봉화회관,60.0,24,N,11.0,2.0,3.0,4.0,2.0,
240,2305230006,e_e000296,6,류 게스트하우스,2023-05-23,2023-05-24,서울 강남구 논현로159길 22-2,서울 강남구 신사동 567-30,,,,,POI01000000C7MKPA,류게스트하우스,270.0,24,N,2.0,7.0,2.0,2.0,3.0,
246,2305240006,e_e000296,12,류 게스트하우스,2023-05-24,2023-05-25,서울 강남구 논현로159길 22-2,서울 강남구 신사동 567-30,,,,,POI01000000C7MKPA,류게스트하우스,480.0,24,Y,8.0,7.0,4.0,3.0,2.0,
