TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e000005,E02,e000005,5;2;23,2023-04-29,2023-05-03,,충청권 방문/충청권 거주/39세 이하/부부/일반미션,5;2;23,5;2;23
e_e000043,E03,e000043,10;12;21;27,2023-04-28,2023-05-01,,충남 방문/거주지 구분 없음/39세 이하/특별미션,10;12;21;27,4;6;2
e_e000191,G06,e000191,21,2023-04-28,2023-05-01,,충남 방문/거주지 구분 없음/39세 이하/특별미션,21,24;13;27
e_e000316,E01,e000316,21;22;24;26;6,2023-05-27,2023-05-30,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,21;22;24;26;6,22;26;6
e_e000668,E02,e000668,2,2023-05-20,2023-05-21,자가용,충청권 방문/충청권 거주/39세 이하/3대 동반 여행/일반미션,2,2;1;4
e_e001033,E03,e001033,21;22;24;26;27,2023-05-27,2023-05-28,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,21;22;24;26;27,13;21;22
e_e001240,E03,e001240,1;22;4;9,2023-06-04,2023-06-05,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,1;22;4;9,23;6;2
e_e001423,G06,e001423,21,2023-05-29,2023-05-30,자가용,충남 방문/거주지 구분 없음/40세 이상/특별미션,21,21;1;6
e_e001579,E01,e001579,1;2;3;4;5,2023-06-07,2023-06-11,대중교통 등,충청권 방문/충청권 거주/39세 이하/부부/일반미션,1;2;3;4;5,6;2;1
e_e002195,G04,e002195,1;23,2023-06-04,2023-06-05,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,1;23,1;26;3
e_e003226,G06,e003226,1;10;21;22;3,2023-07-01,2023-07-03,대중교통 등,충청권 방문/충청권 외 거주/40세 이상/부부/일반미션,1;10;21;22;3,10;3;1
e_e004870,E03,e004870,11;12;21;3,2023-07-10,2023-07-13,자가용,충북 방문/거주지 구분 없음/40세 이상/특별미션,11;12;21;3,21;11;8
e_e004944,E03,e004944,1;21;22;26;27,2023-07-09,2023-07-10,자가용,충청권 방문/충청권 거주/39세 이하/부부/일반미션,1;21;22;26;27,4;22;1
e_e007408,G05,e007408,2;22,2023-08-19,2023-08-20,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,2;22,2;22;24
e_e011214,G06,e011214,1;13;22;3;6,2023-08-25,2023-08-26,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,1;13;22;3;6,6;1;2
e_e013132,G06,e013132,2;21;22;26;3,2023-09-09,2023-09-10,,충남 방문/거주지 구분 없음/39세 이하/특별미션,2;21;22;26;3,22;21;26
e_e013143,G04,e013143,22;4;6,2023-09-23,2023-09-24,,대전 방문/거주지 구분 없음/39세 이하/특별미션,22;4;6,6;22;3
e_e013144,G04,e013144,2;3;4;6;9,2023-09-23,2023-09-24,,대전 방문/거주지 구분 없음/40세 이상/특별미션,2;3;4;6;9,2;9;1
e_e013149,G05,e013149,21;22;24;26;5,2023-09-24,2023-09-25,,충북 방문/거주지 구분 없음/39세 이하/특별미션,21;22;24;26;5,21;27;24
e_e013179,G06,e013179,1;21;22;3;7,2023-09-24,2023-09-25,,충남 방문/거주지 구분 없음/39세 이하/특별미션,1;21;22;3;7,3;1;21
e_e013184,G04,e013184,22;26;4,2023-09-23,2023-09-24,,충청권 방문/충청권 외 거주/40세 이상/커플/일반미션,22;26;4,1;4;22
e_e013188,G06,e013188,2;21;22;26;3,2023-09-23,2023-09-24,,충남 방문/거주지 구분 없음/39세 이하/특별미션,2;21;22;26;3,21;22;6
e_e013282,G06,e013282,2;22;26;4;6,2023-09-27,2023-09-28,,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,2;22;26;4;6,2;6;4
f_f000001,G06,f000001,11;9,2023-04-29,2023-05-02,,충청권 방문/충청권 외 거주/39세 이하/자녀동반/일반미션,11;9,8;9;11
f_f000004,G03,f000004,8;3;22,2023-04-29,2023-05-02,,전라권 방문/호남권 외 거주/39세 이하/자녀동반/일반미션,8;3;22,3;8;5
f_f000030,G06,f000030,21,2023-04-28,2023-05-01,,충남 방문/거주지 구분 없음/40세 이상/특별미션,21,9;21;22
f_f001718,G05,f001718,2;28;3,2023-06-01,2023-06-03,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,2;28;3,28;3;5
f_f002508,G03,f002508,22;23,2023-06-07,2023-06-09,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,22;23,22;23;26
f_f008573,G06,f008573,1;6,2023-08-24,2023-08-25,,충청권 방문/충청권 외 거주/40세 이상/나홀로 여행/일반미션,1;6,6;3;2
f_f009789,G03,f009789,22;4,2023-08-25,2023-08-27,자가용,전라권 방문/호남권 외 거주/39세 이하/커플/일반미션,22;4,4;22;2
f_f015537,G06,f015537,1;22;5,2023-09-03,2023-09-04,,충청권 방문/충청권 외 거주/40세 이상/나홀로 여행/일반미션,1;22;5,5;9;21
f_f015541,G06,f015541,21;4;6;7;9,2023-09-02,2023-09-03,,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,21;4;6;7;9,22;26;6
f_f016471,G05,f016471,12;13;22;3;6,2023-09-16,2023-09-17,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,12;13;22;3;6,3;6;26
