TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e000295,E03,e000295,21;22;4;7;8,2023-06-03,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;4;7;8,7;1;22
e_e000305,H02,e000305,12;2;21;27,2023-06-09,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",12;2;21;27,22;21;27
e_e000335,H02,e000335,1;22;26;4;6,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;22;26;4;6,1;6;26
e_e000365,H02,e000365,24;26;27;28;5,2023-05-27,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",24;26;27;28;5,5;11;12
e_e000401,H02,e000401,1;10;21;23;24,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;10;21;23;24,1;23;21
e_e000437,H02,e000437,22;25,2023-06-04,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;25,22;25;21
e_e000443,H02,e000443,22;24;27;28;5,2023-06-03,2023-06-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",22;24;27;28;5,5;22;28
e_e000463,H02,e000463,25;24;8;4;22;21;26;27;28;5,2023-06-04,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",25;24;8;4;22;21;26;27;28;5,8;21;25
e_e000506,H02,e000506,22;8,2023-06-02,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",22;8,8;22;3
e_e000559,H02,e000559,8;28;24;22;21,2023-05-27,2023-05-29,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",8;28;24;22;21,8;28;24
e_e000574,H02,e000574,13;21;24,2023-06-02,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",13;21;24,21;13;24
e_e000580,H02,e000580,11;22;3;4;6,2023-06-10,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",11;22;3;4;6,1;3;4
e_e000588,H02,e000588,2;22;26;27;28,2023-05-28,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",2;22;26;27;28,22;6;26
e_e000632,H02,e000632,4;3,2023-06-03,2023-06-04,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",4;3,1;3;4
e_e000697,H02,e000697,8,2023-06-04,2023-06-07,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",8,8;21;26
e_e000736,H02,e000736,1;11;2;22;4,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;11;2;22;4,11;23;22
e_e000823,H02,e000823,3;13;12;4;21;22;24;28,2023-05-27,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",3;13;12;4;21;22;24;28,3;24;22
e_e000847,H02,e000847,3;13;22,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",3;13;22,3;13;22
e_e000866,H02,e000866,1;21;3;4;6,2023-05-27,2023-05-29,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;21;3;4;6,3;21;1
e_e000867,H02,e000867,1;21;22,2023-05-31,2023-06-01,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;21;22,21;22;24
e_e000899,H02,e000899,25;4;6;8,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",25;4;6;8,25;8;3
e_e000903,H02,e000903,1;22;24;4;6,2023-06-02,2023-06-04,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;22;24;4;6,24;23;22
e_e000905,H02,e000905,1;21;22;24;8,2023-05-27,2023-05-30,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;21;22;24;8,1;6;24
e_e001007,H02,e001007,26;22;6;2;1;4;3,2023-06-03,2023-06-05,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",26;22;6;2;1;4;3,2;11;24
e_e001078,H02,e001078,1;3;4;5;6,2023-06-10,2023-06-11,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;3;4;5;6,11;26;22
e_e001085,H02,e001085,1;4;6,2023-05-27,2023-05-28,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;4;6,1;6;22
e_e001112,H02,e001112,27;22;4;6,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",27;22;4;6,4;22;23
e_e001122,H02,e001122,1;2;6,2023-05-27,2023-05-29,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;6,23;6;22
e_e001133,H02,e001133,2;21;22;23;26,2023-06-01,2023-06-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",2;21;22;23;26,2;21;5
e_e001139,H02,e001139,5;9;22,2023-05-27,2023-05-28,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",5;9;22,9;11;22
e_e001156,H02,e001156,1;22;4;7,2023-05-27,2023-05-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;22;4;7,4;6;22
