VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2210300006,a_a015688,5,프로방스마을,2022-10-30,2022-10-30,경기 파주시 탄현면 새오리로 77,경기 파주시 탄현면 성동리 82-1,126.6852386,37.79040523,,,,,60,7,Y,9,,4,4,4,
2208050001,a_a000164,1,친구/친지집,2022-08-05,2022-08-05,,경기도 안산시 단원구 와동,,,,,,,,22,,,,,,,41273
2210030002,a_a004293,2,병점역 1호선,2022-10-03,2022-10-03,경기 화성시 떡전골로 97,경기 화성시 진안동 824-1,127.0332004,37.2067527,,,POI01000000BY6I92,병점역,30,9,Y,6,,4,5,5,
2208200003,a_a000491,12,더현대서울,2022-08-20,2022-08-20,서울 영등포구 여의대로 108,서울 영등포구 여의도동 22,126.9284461,37.52587207,,,,,180,4,N,2,,5,5,5,
2208110007,a_a000172,13,강릉중앙시장,2022-08-11,2022-08-11,강원 강릉시 금성로 21,강원 강릉시 성남동 50,128.8986238,37.75402512,,,POI01000000DNNN06,신흥수산,30,4,N,1,,4,4,4,
2208270003,a_a000554,17,청계천,2022-08-27,2022-08-27,,서울 종로구 서린동 148,126.9786471,37.56914697,,,,,60,7,N,1,,4,4,4,
2210140003,a_a005474,3,새절역 6호선,2022-10-14,2022-10-14,서울 은평구 증산로 지하 400,서울 은평구 신사동 337-5,126.9135807,37.59086005,,,,,0,9,Y,11,,5,5,5,
2211130008,a_a017850,8,송내역 1호선,2022-11-13,2022-11-14,경기 부천시 송내대로 43,경기 부천시 송내동 632-4,126.7531617,37.48764231,,,POI01000000BXWABL,송내역송내역상가,210,22,,,,,,,
2210100002,a_a006024,2,장안순대국,2022-10-10,2022-10-10,경기 수원시 팔달구 화서문로 58,경기 수원시 팔달구 신풍동 25-1,127.0144388,37.28549698,,,,,30,11,N,2,,4,3,3,
2210290001,a_a014948,1,집,2022-10-29,2022-10-29,,,,,,,,,,21,,,,,,,26260
2210010004,a_a003557,8,유일닭강정,2022-10-01,2022-10-01,경기 가평군 가평읍 가화로 122,경기 가평군 가평읍 읍내리 471-2,127.5135261,37.83054841,,,POI010000006CSTSR,노블모텔,30,11,N,2,,4,3,3,
2209030003,a_a000962,9,숙이네닭발,2022-09-03,2022-09-03,서울 용산구 우사단로10길 47,서울 용산구 한남동 732-148,126.9981717,37.53290172,,,,,120,11,N,2,,5,5,5,
2210140002,a_a005195,2,삼송역 3호선,2022-10-14,2022-10-14,경기 고양시 덕양구 삼송로 지하 194,경기 고양시 덕양구 삼송동 18-5,126.8956718,37.65307495,,,,,0,7,N,6,,3,2,3,
2210130003,d_d004175,10,베드스테이션 선릉점,2022-10-13,2022-10-14,서울 강남구 선릉로92길 41,서울 강남구 삼성동 142-24,127.0519442,37.50635938,,,,,120,24,N,8,2,5,5,5,
2210100012,a_a003603,28,꿈의숲SK뷰아파트,2022-10-10,2022-10-11,서울 노원구 월계로42길 97,서울 노원구 월계동 949,127.0540013,37.62210043,,,POI01000000BYJ00O,꿈의숲SK뷰,120,22,,,,,,,
2210230004,a_a007389,5,집,2022-10-23,2022-10-24,,,,,,,,,330,21,,,,,,,11170
2210160001,a_a006566,1,친구/친지집,2022-10-16,2022-10-16,,,126.8574647,33.52591225,,,POI01000000EG7KS9,세화민속오일시장,,22,,,,,,,11500
2210080005,a_a003234,8,서울 그로서리 클럽,2022-10-08,2022-10-08,서울 서대문구 연희로11가길 8,,,,,,,,30,3,N,2,,4,3,3,11410
2210040004,a_a004298,4,제부도 워터워크,2022-10-04,2022-10-04,,경기 화성시 서신면 송교리 377-46,126.6558211,37.1740899,,,,,0,2,N,1,,2,3,3,
