VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2209040011,b_b001138,7,광안리해수욕장,2022-09-04,2022-09-04,부산 수영구 광안해변로 219,부산 수영구 광안동 192-20,129.1189761,35.15319327,,,POI01000000BZ0BJ0,광안리해수욕장,30,1,N,1,,4,4,4,
2208200002,b_b000246,2,김포국제공항 국내선,2022-08-20,2022-08-20,서울 강서구 하늘길 112,서울 강서구 공항동 1373,126.8028655,37.55894903,,,,,60,9,Y,6,,5,5,5,
2209250005,b_b004595,11,여주휴게소주유소 인천방향,2022-09-25,2022-09-25,경기 여주시 가남읍 화평길 116,경기 여주시 가남읍 본두리 677-1,127.5687835,37.23973935,,,,,30,9,Y,11,,4,4,4,
2210040003,b_b005102,13,감자바우옹심이칼국수,2022-10-04,2022-10-04,강원 영월군 영월읍 중앙로 183-1,강원 영월군 영월읍 덕포리 632-64,128.4776642,37.17597129,,,,,60,11,N,2,,5,5,5,
2209270005,b_b005081,16,속초고속버스터미널,2022-09-27,2022-09-27,강원 속초시 동해대로 3988,강원 속초시 조양동 1418,128.598776,38.1904606,,,POI01000000BXS5OP,속초고속버스터미널,0,9,Y,6,,5,5,5,
2210300002,b_b014637,2,부산역,2022-10-30,2022-10-30,부산 동구 중앙대로 206,부산 동구 초량동 1187-1,129.0414192,35.11510918,,,POI01000000BGQU5C,부산역,30,9,N,11,,4,4,4,
2210080004,b_b005770,3,문막교,2022-10-08,2022-10-08,,강원 원주시 문막읍 취병리,127.8090951,37.30759338,,,,,1140,1,N,2,,4,3,4,
2210300003,b_b014501,2,이케아 동부산점,2022-10-30,2022-10-30,동부산관광3로 17,,129.2104793,35.19079654,,,,,60,4,Y,1,,5,5,5,26710
2210200004,b_b009271,3,원통버스터미널,2022-10-20,2022-10-20,강원 인제군 북면 원통로147번길 31,강원 인제군 북면 원통리 657-12,128.202954,38.12331814,,,,,30,9,N,11,,3,3,3,
2211050008,b_b009366,5,호우총,2022-11-05,2022-11-05,,경북 경주시 노서동 215,129.2090453,35.83972069,,,,,30,2,N,9,,4,4,4,
