VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2210210002,d_d006731,7,미스틱3도,2022-10-21,2022-10-21,제주특별자치도 제주시 1100로 2894-49,제주특별자치도 제주시 노형동 291-10,126.4875563,33.44994698,,,POI01000000EBRQLN,신비원(석부작돌공원),60,13,N,2,,5,5,5,
2210180004,d_d002613,3,에스제이렌트카,2022-10-18,2022-10-18,제주특별자치도 제주시 오일장중길 100,제주특별자치도 제주시 도두일동 1286-1,126.4770068,33.49844111,,,POI01000000B34XFQ,푸조렌트카,30,10,N,2,,4,4,4,
2209030004,d_d001011,20,루프탑정원,2022-09-03,2022-09-03,,,126.7454082,33.2838596,,,,,60,24,N,2,7,2,1,2,50130
2209170005,d_d001386,17,법환식당,2022-09-17,2022-09-17,제주특별자치도 서귀포시 이어도로 1046,제주특별자치도 서귀포시 서호동 128-7,126.5228494,33.24502199,,,,,30,11,N,9,,5,4,5,
2210090001,d_d002308,16,돌카롱 중문점,2022-10-09,2022-10-09,제주특별자치도 서귀포시 중문로41번길 8,제주특별자치도 서귀포시 중문동 1588-1,126.4243026,33.2557237,,,,,30,11,N,2,,4,4,4,
2208220006,d_d000654,16,파노 카페,2022-08-22,2022-08-22,제주특별자치도 제주시 한림읍 한창로 1239,제주특별자치도 제주시 한림읍 금악리 1718-2,126.2992202,33.35264901,,,,,90,11,N,9,,3,3,3,
2210310002,d_d009541,7,에코랜드호텔,2022-10-31,2022-10-31,제주특별자치도 제주시 조천읍 남조로 1982,제주특별자치도 제주시 조천읍 교래리 385-1,126.6723937,33.45104915,,,POI010000006W0H2H,에코랜드테마파크,120,24,Y,4,,5,5,5,
2210210001,c_c006685,1,집,2022-10-21,2022-10-21,,,,,,,POI01000000C2R8CL,고운하이츠,,21,,,,,,,29110
2210220007,d_d004654,19,봉성식당 가는길,2022-10-22,2022-10-22,,,,,,,,,30,11,N,5,,4,5,5,50110
2210300003,a_a008632,7,송도센트럴파크,2022-10-30,2022-10-30,,인천 연수구 송도동 24-5,126.6386297,37.39306396,,,POI01000000BVPPZF,스트롤링가든브릿지,120,1,N,1,,4,5,4,
