VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2304300001,e_e000004,1,집,2023-04-30,2023-04-30,,,,,,,,,,21,,,,,,,4159011800
2304300002,e_e000004,2,화성 관광열차 안내소 연무대 매표소,2023-04-30,2023-04-30,경기 수원시 팔달구 창룡대로103번길 20,경기 수원시 팔달구 매향동 3-32,127.0233392,37.2878779,,,POI01000000ALZU7R,동대문종합시장 악세서리부자재시장,60,2,N,10,,4,3,4,
2304300003,e_e000004,3,창룡문,2023-04-30,2023-04-30,,경기 수원시 팔달구 남수동,127.0251435,37.287791,,,POI010000006N1USC,창룡문,30,2,N,1,,4,4,4,
2304300004,e_e000004,4,수원 화성 화홍문,2023-04-30,2023-04-30,,경기 수원시 팔달구 북수동 9000-1,127.0176261,37.2875455,,,POI01000TR021821V,수원화성 화홍문,60,2,N,10,,4,3,3,
2304300005,e_e000004,5,집,2023-04-30,2023-05-01,,,,,,,,,390,21,,,,,,,4159011800
2304300001,e_e000006,1,집,2023-04-30,2023-04-30,,,,,,,,,,21,,,,,,,1123010300
2304300002,e_e000006,2,청량리역 경춘선,2023-04-30,2023-04-30,서울 동대문구 왕산로 214,서울 동대문구 전농동 591-53,127.0486361,37.5812735,,,POI01000TR031679V,청량리역 경춘선,30,9,Y,6,,5,5,5,
2304300003,e_e000006,3,청평역 경춘선,2023-04-30,2023-04-30,경기 가평군 청평면 청평역로 97-33,경기 가평군 청평면 청평리 174,127.4266229,37.7355164,,,POI01000000BYKGW1,청평(신)역,0,9,N,1,,5,5,5,
2304300004,e_e000006,4,경춘선 자전거길,2023-04-30,2023-04-30,,경기 가평군 청평면 하천리 158-2,127.4362,37.7459577,,,POI01000TR008470V,경춘선자전거길,150,1,Y,4,,5,5,5,
2304300005,e_e000006,5,베이커리 시어터,2023-04-30,2023-04-30,경기 남양주시 화도읍 경춘로2696번길 4-15,경기 남양주시 화도읍 구암리 6-8,127.3760252,37.6734389,,,POI01000TR029727V,베이커리 씨어터,60,11,N,1,,4,4,4,
2304300006,e_e000006,6,백암천,2023-04-30,2023-04-30,경기 가평군 청평면 경춘로 699,경기 가평군 청평면 청평리 650-5,127.4085936,37.7313169,,,POI01000000CJXNNY,백암천자판기,120,12,Y,4,,5,5,5,
2304300007,e_e000006,7,자시오 잣 주꾸미,2023-04-30,2023-04-30,경기 가평군 청평면 구청평로 61,경기 가평군 청평면 청평리 627-1,127.4138806,37.7330752,,,POI01000000D0LJDQ,자시오잣쭈꾸미,60,11,N,5,,4,4,4,
2304300008,e_e000006,8,신창현 풍림아이원 1차 아파트,2023-04-30,2023-05-01,경기 남양주시 화도읍 수레로1120번길 8,경기 남양주시 화도읍 차산리 875,127.3056466,37.6359236,,,POI02001TR018862V,신창현풍림아이원1차아파트,150,22,,,,,,,
2305010001,e_e000006,9,마석역 경춘선,2023-05-01,2023-05-01,경기 남양주시 화도읍 마석중앙로 107,경기 남양주시 화도읍 마석우리 222-2,127.3116866,37.6527922,,,POI01000000E66RN0,마석역,0,9,Y,6,,5,5,5,
2305010002,e_e000006,10,청량리역,2023-05-01,2023-05-01,서울 동대문구 왕산로 214,서울 동대문구 전농동 591-53,127.0485044,37.5807329,,,POI01000TR012315V,청량리역,0,9,Y,6,,5,5,5,
2305010003,e_e000006,11,집,2023-05-01,2023-05-02,,,,,,,,,450,21,,,,,,,1123010300
2304290001,e_e000009,1,친구 친지 집,2023-04-29,2023-04-29,푸르지오,,,,,,,,,22,,,,,,,4122012400
2304290002,e_e000009,2,농협안성팜랜드,2023-04-29,2023-04-29,경기 안성시 공도읍 대신두길 28,경기 안성시 공도읍 신두리 451,127.1935166,36.9913166,,,POI01000000E66UWC,안성팜랜드,30,6,N,1,,4,4,4,
2304290003,e_e000009,3,스타필드 안성,2023-04-29,2023-04-29,경기 안성시 공도읍 서동대로 3930-39,경기 안성시 공도읍 진사리 354,127.1470947,36.9950254,,,POI01000TR000004V,스타필드 안성,150,4,N,1,,5,5,5,
2304290004,e_e000009,4,대동국수 평택역점,2023-04-29,2023-04-29,경기 평택시 자유로 18,경기 평택시 합정동 730-2,127.0913494,36.9930575,,,POI02001TR006566V,대동국수 평택역점,120,11,N,2,,5,5,5,
2304290005,e_e000009,5,편지,2023-04-29,2023-04-29,경기 평택시 자유로14번길 2,경기 평택시 합정동 731-7,127.0909727,36.9927443,,,POI02001TR030834V,편지,90,11,N,2,,5,5,5,
2304290007,e_e000009,6,호텔 프라하,2023-04-29,2023-04-30,경기 평택시 통복로26번길 11,경기 평택시 통복동 114-10,127.0833377,36.994097,,,POI02001TR033794V,호텔프라하,1290,24,N,8,2,1,1,1,
2304300001,e_e000009,7,평택 초등학교,2023-04-30,2023-04-30,경기 평택시 원평2로 4,경기 평택시 평택동 110-2,127.0813399,36.9894785,,,POI02001TR030913V,평택초등학교,30,12,Y,4,,5,5,5,
2304300002,e_e000009,8,샤오바오 고덕점,2023-04-30,2023-04-30,경기 평택시 고덕여염10길 87,경기 평택시 고덕동 2147-6,127.0502682,37.041962,,,POI02001TR014768V,샤오바오 고덕점,60,11,N,2,,5,5,5,
2304300003,e_e000009,9,평택시 농업 생태원,2023-04-30,2023-04-30,경기 평택시 오성면 청오로 33-34,경기 평택시 오성면 숙성리 1033,126.983651,37.013128,,,POI01000000ALRW3H,평택시농업생태원,30,6,N,1,,5,5,5,
