VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2304290001,e_e000005,1,집,2023-04-29,2023-04-29,유등로655번길27,,,,,,,,,21,,,,,,,3017010600
2304290002,e_e000005,2,아주 매운 공주 칼국수 주꾸미구이 신탄진점,2023-04-29,2023-04-29,대전 대덕구 덕암로222번길 34,대전 대덕구 덕암동 49-15,127.425684,36.4395978,,,POI02001TR019580V,아주매운공주칼국수쭈꾸미구이 신탄진점,30,11,N,5,,5,5,5,
2304290003,e_e000005,3,청주 휴게소 서울 방향,2023-04-29,2023-04-29,충북 청주시 흥덕구 옥산면 경부고속도로 318,충북 청주시 흥덕구 옥산면 장남리 282-6,127.3493578,36.7161104,,,POI01000TR024840V,청주휴게소 서울방향,30,9,Y,6,,5,5,5,
2304290004,e_e000005,4,갤럭시호텔,2023-04-29,2023-04-29,인천 중구 월미문화로 9,인천 중구 북성동1가 98-578,126.5991579,37.4769668,,,POI01000000DRM08U,갤럭시호텔,30,24,N,8,2,5,5,5,
2304290005,e_e000005,6,월미도,2023-04-29,2023-04-29,,인천 중구 북성동1가 산 1,126.5992311,37.4717376,,,POI01000TR005169V,월미도,60,1,N,1,,5,5,5,
2304290006,e_e000005,5,월미테마파크,2023-04-29,2023-04-29,인천 중구 월미문화로 81,인천 중구 북성동1가 98-580,126.5963341,37.4714502,,,POI01000000CIJKB4,월미테마파크,60,6,N,1,,5,5,5,
2304290007,e_e000005,7,어반 정원,2023-04-29,2023-04-29,인천 중구 월미문화로 43,인천 중구 북성동1가 98-495,126.5976287,37.4745721,,,POI02001TR020291V,어반정원,90,11,N,9,,5,5,5,
2304290008,e_e000005,8,갤럭시호텔,2023-04-29,2023-04-30,인천 중구 월미문화로 9,인천 중구 북성동1가 98-578,126.5991579,37.4769668,,,POI01000000DRM08U,갤럭시호텔,180,24,Y,11,2,5,5,5,
2304300001,e_e000005,9,월미도 가락국수 월미도점,2023-04-30,2023-04-30,인천 중구 월미문화로 71,인천 중구 북성동1가 98-12,126.5963384,37.4723224,,,POI02001TR023137V,월미도우동 월미도점,30,11,N,8,,5,5,5,
2304300002,e_e000005,10,개항e지 투어,2023-04-30,2023-04-30,중구청,,,,,,,,60,13,N,11,,5,5,5,2811010900
2304300003,e_e000005,11,인천 맥주,2023-04-30,2023-04-30,인천 중구 신포로15번길 41,인천 중구 해안동3가 2-1,126.6221874,37.4715087,,,POI01000TR038193V,인천맥주,60,11,N,2,,5,5,5,
2304300004,e_e000005,12,도래순,2023-04-30,2023-04-30,인천 중구 신포로15번길 68-1,인천 중구 해안동2가 6-5,126.6211676,37.4724334,,,POI02001TR007515V,도래순,30,11,N,11,,5,5,5,
2304300005,e_e000005,15,호텔 스카이파크 인천 송도,2023-04-30,2023-05-01,인천 연수구 컨벤시아대로 233,인천 연수구 송도동 10-2,126.6387142,37.3846307,,,POI01000TR033645V,호텔스카이파크 인천송도,180,24,N,8,1,5,5,5,
2304300006,e_e000005,13,호텔 스카이파크 인천 송도,2023-04-30,2023-04-30,인천 연수구 컨벤시아대로 233,인천 연수구 송도동 10-2,126.6387142,37.3846307,,,POI01000TR033645V,호텔스카이파크 인천송도,180,24,N,8,1,5,5,5,
2304300007,e_e000005,14,송도센트럴파크 이스트보트하우스,2023-04-30,2023-04-30,인천 연수구 컨벤시아대로 160,인천 연수구 송도동 24-5,126.6435921,37.3903706,,,POI010000006EGCY6,송도센트럴파크 이스트보트하우스,90,5,Y,4,,5,5,5,
2305010001,e_e000005,16,더 위크 앤리조트 워터파크,2023-05-01,2023-05-01,인천 중구 용유서로 379 더위크앤 리조트 아쿠아벤처(지하2층),,126.3709376,37.4503696,,,POI02001TR007177V,더위크앤리조트 워터파크,180,6,N,5,,5,5,5,2811014900
2305010002,e_e000005,17,더 위크앤 리조트,2023-05-01,2023-05-01,인천 중구 용유서로 379,인천 중구 을왕동 773,126.370757,37.4506243,,,POI01000TR002935V,더위크앤 리조트,90,24,N,5,4,5,5,5,
2305010003,e_e000005,18,을왕리 해수욕장,2023-05-01,2023-05-01,,인천 중구 을왕동 746,126.372737,37.446292,,,POI01000TR033062V,을왕리해수욕장,30,1,Y,4,,5,5,5,
2305010004,e_e000005,19,호남 횟집,2023-05-01,2023-05-01,인천 중구 을왕로 66,인천 중구 을왕동 765-4,126.3708591,37.4495049,,,POI02001TR033407V,호남횟집,150,11,N,9,,5,5,5,
2305010005,e_e000005,20,더 위크앤 리조트,2023-05-01,2023-05-02,인천 중구 용유서로 379,인천 중구 을왕동 773,126.370757,37.4506243,,,POI01000TR002935V,더위크앤 리조트,210,24,Y,11,4,5,5,5,
2305020001,e_e000005,21,경복궁 삼계탕 인천 송도점,2023-05-02,2023-05-02,인천 연수구 센트럴로 263,인천 연수구 송도동 29-13,126.6337456,37.3986172,,,POI010000006EG3SR,경복궁삼계탕 인천송도점,60,11,Y,4,,5,5,5,
