위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI010000006GEA06,황토진펜션,,,28710,,,4.333333333333333
POI010000006GJE5K,(주)페이퍼플라자,126.9975603,37.5628592,11140,2;4;6,3.0,5.0
POI01000000BZS1BA,익산역,126.9462883,35.9402174,45140,4;7;6,2.0,3.888888888888889
POI0100000070JU1H,동대구역,128.6283938,35.87932399,41115,,,4.666666666666667
POI010000006B2G61,상원사,128.5642605,37.78677952,41480,6;1;2,1.0,4.0
POI010000006LOED2,THEDESIGNERS,127.0040716,37.5637532,41273,3;1;22,2.0,5.0
POI010000008DHMVF,남한산성세계유산센터,127.1884177,37.47669636,41610,1;3;13,1.0,5.0
POI01000000BZ5KHC,경천섬공원,128.2597119,36.43992435,41830,,,4.0
POI010000006I8QHZ,유송빌딩,,,11620,3;4;12,2.0,3.0
POI01000000AM90XY,곤지암리조트주차장,,,41610,9;10;1,2.0,4.428571428571429
POI01000000BGMYZ6,화성행궁,127.0140412,37.2819145,41115,3;21;27,1.0,5.0
POI010000006LNT25,동대문디자인플라자,,,11140,3;6;2,2.0,4.444444444444445
POI010000006VWMBQ,동문시장,126.5283034,33.51278396,41550,9;3;7,3.0,4.083333333333333
POI01000000B1J3A4,애경타워,126.9262356,37.5580134,11440,2;1;22,3.0,4.333333333333333
POI01000000B4KTG4,여주프리미엄아울렛,127.6121957,37.24139161,41670,1;22;24,1.0,4.0
POI010000006K4SHZ,두루미빌딩,,,11215,,,5.0
POI010000006BV4FR,연천전곡리유적방문자센터,,,41800,28;9;3,3.0,3.0
POI01000000EG4FKT,아모렉스리조트본관A동,126.4702056,33.50745425,41590,6;9;21,1.0,5.0
POI01000000B2191K,신세계하남스타필드,,,41450,1;22;26,1.0,4.888888888888889
POI010000006EGFEP,롯데캐슬아파트,126.6674584,37.3869639,11620,9;2;1,2.0,5.0
POI01000000C06LCB,보은속리정이품송,127.8155813,36.51740418,41650,25;22;2,2.0,3.3333333333333335
POI01000000B20MZU,안다즈,127.0289201,37.5254876,11680,23;5;2,3.0,5.0
POI010000006W7J8W,제주월드컵경기장관광안내소,126.5093811,33.24615163,41360,3;24;22,1.0,4.0
POI01000000BFYIGI,어부촌,127.1634448,37.7983987,41650,,,5.0
POI010000006KIB3I,더봄빌딩,127.0260998,37.5046717,11680,23;10;21,2.0,5.0
POI01000000B40D9X,리솜스파캐슬,126.656552,36.69399421,41590,,,5.0
POI010000006HA957,동주빌딩,126.9294391,37.5547393,11440,,,2.3333333333333335
POI01000000B6F1WP,융릉건릉역사문화관,126.9909693,37.2117236,41173,,,4.0
POI01000000909E3V,하이마트호텔,,,41360,,,4.333333333333333
POI01000000B1RPD1,허브아일랜드,,,41650,9;10;22,2.0,3.75
POI01000000BG0YQB,서울고속버스터미널,127.0069895,37.50607506,11650,1;7;27,2.0,3.6
POI010000006KO4KY,롯데월드어드벤처,,,11710,1;2;22,2.0,4.333333333333333
POI010000006CMAMW,태봉마트,,,42780,3;6;12,1.0,3.0
POI01000000BSG5O8,더판타지움,127.0619095,37.2451669,41117,2;4;1,2.0,4.666666666666667
POI010000006GKFTA,이비스엠배서티호텔,126.9894397,37.5743665,28237,3;23;11,3.0,5.0
POI01000000ALZU7R,삼일공업고테니,127.0183862,37.28788599,41111,,,4.111111111111111
POI01000000BSFQ48,조이호텔,,,41287,1;3;2,2.0,3.833333333333333
POI01000000BZ0BJ0,광안리해수욕장,129.1189761,35.15319327,41670,3;4;24,1.0,2.0
POI01000000B2TLI5,전주고속버스터미널,127.1292206,35.83450993,41450,2;1;22,1.0,4.0
POI010000006CVII9,늘푸른계곡오토캠핑장,,,41820,8;2;5,2.0,5.0
POI01000000ALX7MH,광교LFORTIPARK,,,41117,,,4.666666666666667
POI01000000BY16V7,순복음아가페교회,,,41463,4;26;23,2.0,5.0
POI010000006M6UZN,성심치과,127.1461496,37.4408286,41131,1;26;27,3.0,5.0
POI01000000BYGEON,인터컨티넨탈서울코엑스,,,11680,6;9;1,1.0,4.466666666666667
POI010000006FVCL9,호수자연학습센터,127.7759797,34.68375301,41285,24;22;26,1.0,4.0
POI010000006N60JE,한국교직원공제회,,,41115,,,5.0
POI01000000AKZEVY,전주역,127.1618034,35.84985312,41800,8;11;28,3.0,3.4444444444444446
POI010000006N6MJ0,IBIS앰배서더호텔,127.0312763,37.2591821,41115,23;22;3,2.0,3.0
POI010000006KLYKP,선릉롯데골드로즈,127.050742,37.5041271,11680,6;1;21,4.0,3.0
POI0100000072KYH4,선수촌아파트/노인정,127.1169655,35.83478565,28177,22;2;1,2.0,2.3333333333333335
POI0100000078KLO4,샤워실,126.6692389,33.54306157,11140,,,4.166666666666667
POI010000006GKMMA,남산골한옥마을오위장김춘영옥,126.9947485,37.55926666,11140,2;11;23,3.0,5.0
POI010000006K5DJN,KEB하나은행건대역,,,11215,4;1;9,2.0,4.0
POI010000006KYYWE,에비뉴엘,,,11710,1;2;3,4.0,4.0
POI01000000B2GC9A,사성암(마에약사여래불전남문화재220호),127.4806295,35.18012007,11710,21;23;26,1.0,4.666666666666667
POI01000000BYAEWP,로얄치과의원,126.9741664,37.5199927,11170,6;4;22,4.0,3.6666666666666665
POI01000000EHG9GW,성산일출봉,126.9405375,33.45913497,41480,,,4.833333333333334
POI01000000B7HI2F,나인테마모텔,129.0541053,35.53936925,41461,21;9;23,2.0,5.0
POI01000000C17SGO,일신건영휴먼빌아파트/110동,,,41287,4;27;2,1.0,2.3333333333333335
POI01000000B1J5TP,운전문항외과의원,,,41480,9;11;12,4.0,3.3333333333333335
POI01000000B5IZG9,월미도테마파크,126.596287,37.471318,28110,23;4;2,2.0,4.5
POI010000006CB6A5,현준빌딩,,,41650,25;8;21,2.0,5.0
POI01000000BG1BHG,의정부역,,,41150,,,4.666666666666667
POI010000006KYM39,삼정빌딩,,,11710,1;4;26,1.0,3.3333333333333335
POI01000000BG0BB9,올림픽공원,127.1242793,37.5238624,11710,21;4;27,4.0,3.444444444444444
POI010000006GNY14,대방디엠시티,,,11500,1;2;21,1.0,3.6666666666666665
POI010000006N0KW5,새힘교회,,,41115,7;3;1,2.0,4.333333333333333
POI010000009BRUCD,세종도서관,127.6246759,37.29744419,41113,21;24;1,1.0,3.3333333333333335
POI010000006FXMEE,킨텍스,,,41287,6;9;1,1.0,5.0
POI01000000CBFBPY,디엔에이빌리지,127.155235,35.8236165,11200,1;7;27,2.0,4.2
POI01000000BW6Q54,SK네트웍스엔크린셀프주유소,,,41150,,,4.0
POI01000000BZ1DL5,제주지방기상청,126.5296188,33.51435052,41290,,,5.0
POI01000000BYPCMS,의기사,128.0799814,35.18955476,41820,2;21;27,2.0,3.6666666666666665
POI010000006KFKAV,동은프라자,,,11680,1;26;24,1.0,4.666666666666667
POI010000006M797B,중앙빌딩,,,41135,2;4;1,2.0,2.6666666666666665
POI010000006VWNAQ,동문시장고객지원센터,126.5260174,33.51158514,41650,24;22;8,2.0,5.0
POI01000000BZ2YY4,신소양체육공원,128.1701958,35.58074463,41131,4;23;1,2.0,5.0
POI010000006QK7P8,금서루,127.1262966,36.46324084,41281,2;3;6,1.0,3.0
POI010000006GKMC0,인영빌딩,126.9938629,37.5609248,11140,7;1;24,2.0,4.0
POI010000006CW2NZ,가평힐링캠프,126.9635913,33.49209675,41171,8;5;27,2.0,3.6666666666666665
POI01000000BZ1Z39,천지연폭포,126.5545223,33.24721232,41550,9;3;7,3.0,4.333333333333334
POI01000000B4V9Q5,양떼목장,126.7048176,35.98680644,41830,23;24;11,2.0,5.0
POI01000000B1ICDF,호수공원1주차장,,,48330,,,4.333333333333333
POI01000000BZZGN8,꽃지해수욕장,126.3360205,36.49718208,41173,,,4.666666666666667
POI010000006GL1GK,종로타워,126.9835987,37.5706337,11440,8;6;4,7.0,5.0
POI010000006JLZ6B,강변스포렉스,,,41360,6;3;26,2.0,5.0
POI01000000B1FQCP,오라카이호텔,126.9987185,37.57557119,11110,21;22;23,2.0,3.666666666666667
POI010000006KYHUV,셀레네호텔,127.109201,37.515587,11710,,,5.0
POI01000000B5M8IO,현대프리미엄아울렛,,,28185,4;1;21,1.0,4.444444444444444
POI01000000DM5HAR,서광아파트/경비실,127.0429371,37.51703215,11680,23;1;6,3.0,5.0
POI01000000C2THTD,수창해뜨레아파트/101동,127.3683521,35.39617157,41610,22;21;24,1.0,5.0
POI010000006GKSNH,종묘광장관리사무소,126.994213,37.57610804,11440,1;26;22,2.0,5.0
POI010000006H76WS,서포빌딩,,,11440,1;26;22,1.0,3.3333333333333335
POI010000006GHB6G,창경궁명정전,126.9916449,37.58187065,11110,3;6;11,4.0,5.0
POI010000006HO7HV,대흥주차타워,,,11560,6;7;9,3.0,4.333333333333333
POI010000006EHJYE,인천공항소방서119시민수상구조대,126.372737,37.446292,11140,21;4;1,1.0,2.0
POI01000000AK06TP,국립아시아문화전당,126.9213535,35.14733372,41360,3;24;6,1.0,3.6666666666666665
POI01000000E9LWII,서울역버스환승센터,126.9706069,37.55467884,11140,1;4;6,2.0,4.083333333333334
POI01000000B623TB,수원벤쳐밸리2지식산업센터,126.9868731,37.2386253,41113,3;4;6,1.0,4.0
POI01000000761RVW,아스트로호텔,,,11650,6;23;4,2.0,3.0
POI01000000B1LTN9,용산역지상주차장,,,11170,1;21;22,1.0,5.0
POI010000006GNRUQ,소망빌딩,,,11170,4;7;6,3.0,4.666666666666667
POI01000000C053HX,오송역,127.3275321,36.62015899,41480,6;1;2,1.0,4.0
POI010000006JMLKC,비스타워커힐서울명월관,,,11215,6;22;26,1.0,4.333333333333333
POI010000006GI47B,(주)한국철도유통서울,126.9673538,37.5529875,11170,6;4;7,3.0,3.0
POI010000006M23C5,항덕빌딩,126.4105917,33.24843658,11680,6;21;13,1.0,5.0
POI01000000C0U2Z3,판교푸르지오월드마크,,,41135,23;11;1,2.0,4.0
POI01000000782RFJ,김포아트빌리지아트센터,126.6954965,37.6453833,41570,25;22;4,2.0,5.0
POI01000000B5Q57E,중앙공원,126.9591892,37.3900032,41173,9;1;22,1.0,4.0
POI010000006HMUFE,여의도공원팔각정,126.9223482,37.52613492,11560,1;4;2,1.0,4.0
POI01000000B31QBC,성이시돌목장,126.3273211,33.34776988,41220,27;1;8,2.0,5.0
POI01000000B5OHP6,씨하이호텔,,,41390,22;24;23,2.0,4.666666666666667
POI01000000B1VY9A,PS모터스,,,11200,,,3.0
POI010000006TRVL2,다운타운프라자,,,26320,6;9;24,2.0,4.0
POI010000006N0UAT,강신철태권도남창도장,,,41115,3;22;26,1.0,5.0
POI01000000BXTJ8O,모곡밤벌유원지,,,42720,1;8;21,2.0,4.0
POI01000000C16UX6,삼성레미안아파트/103동,126.9021882,37.7028614,41830,23;24;11,2.0,4.166666666666666
POI01000000C01SDE,공주종합버스터미널,,,44150,1;7;27,2.0,4.0
POI01000000BFYN6D,여울목펜션,126.8660447,33.36961132,41820,,,2.6666666666666665
POI01000000BX4OWS,전주동물원주차장,127.1443889,35.85520353,41115,26;22;3,1.0,4.0
POI01000000B3576S,수목원테마파크,126.4883977,33.47077732,11560,28;27;24,1.0,3.0
POI010000006GLAJW,도화동비지니스호텔신라스테이,,,44131,5;23;24,2.0,5.0
POI010000006EGCZ7,센트럴파크호텔,,,28185,1;23;4,2.0,4.5
POI01000000BY1IWK,광교아이파크아파트,127.0612949,37.2746026,41117,7;23;4,3.0,2.0
POI01000000BYUQYN,신볼산군립공원,129.0453249,35.5482143,41461,21;9;23,2.0,5.0
POI01000000B4VKI8,포세이돈수상레저,127.5178532,37.7013418,11305,8;7;1,2.0,3.0
POI01000000B8WOBA,전주중앙교회,127.1444269,35.8199463,41285,,,3.3333333333333335
POI010000006HUKJG,EGGYELLOW,,,11320,,,5.0
POI01000000BZ24V7,한국천문연구원KVN탐라전파천문대,126.4604181,33.28887327,41360,3;24;22,1.0,4.0
POI010000006KHGZI,JW메리어트호텔,127.0046935,37.50404431,11560,23;22;21,3.0,4.666666666666667
POI010000006L0E9A,대지빌딩,,,11710,25;21;22,2.0,4.5
POI010000006KHJTF,신세계백화점,,,11650,,,4.777777777777778
POI01000000DMEYIP,현대아파트,126.9409853,37.58990008,11140,23;1;6,3.0,3.666666666666667
