위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI01000000DMJBE3,오송대원칸타빌아파트,127.3266151,36.62689822,31140,22;5;24,1.0,4.0
POI0100000076IV1N,시티오피스텔,129.308126,35.536474,26500,7;22;6,2.0,3.916666666666667
POI01000000B53DB3,왕조실록의궤박물관,128.6028917,37.71884566,42760,3;24;28,3.0,4.666666666666667
POI01000000B5A0AW,복골온천숯굽는마을,126.492769,33.50707896,42830,25;22;1,1.0,4.0
POI01000000DLTMU3,강원대학교삼척캠퍼스/제4공학관,129.3772397,36.05754806,42230,2;9;22,2.0,3.3333333333333335
POI01000000CBFBPY,디엔에이빌리지,127.155235,35.8236165,27110,,,4.888888888888889
POI01000000B5AMY6,속초롯데호텔리조트,128.613196,38.18072188,42210,23;24;5,2.0,5.0
POI010000006TZRO9,부산대학교/NC백화점,,,26410,,,4.333333333333333
POI010000006WDD0O,새한목욕탕,,,42190,5;3;24,1.0,1.3333333333333333
POI010000006WH9UI,로얄호텔,128.5858951,35.44128812,47830,10;22;26,2.0,5.0
POI01000000ANQWU9,경주현대호텔,129.277023,35.85031968,29170,3;22;21,2.0,4.0
POI010000006B2G61,상원사,,,42760,,,4.0
POI0100000070VVKD,대백마트사동점,128.7551595,35.8119423,47130,,,3.0
POI010000009E5X3O,언양경희한의원,129.1261781,35.5642803,31710,28;22;24,3.0,2.3333333333333335
POI0100000076AOJQ,이마트,,,26410,,,4.333333333333333
POI01000000EBRPYZ,곽지해변,126.3046732,33.45065751,47130,22;2;1,2.0,5.0
POI010000006BFWRF,신고00.4.27,128.5908135,38.21122269,42210,2;22;21,2.0,4.0
POI01000000B5C9KH,제이드팰리스컨트리클럽,,,42110,2;22;24,1.0,4.333333333333333
POI010000006A0HWP,매표소,128.5282885,36.54938836,47170,,,3.3333333333333335
POI010000006BC593,남애제일장,128.7824132,37.9453424,42830,22;5;25,2.0,3.0
POI01000000DA5XBW,파밀리에게스트하우스,129.0413043,35.1163949,26170,5;7;10,3.0,3.0
POI01000000BYPCMS,의기사,,,48170,9;1;22,1.0,5.0
POI010000006UPT3H,부산삼진어묵역사체험관,,,26200,24;1;22,1.0,3.0
POI01000000BZYHF0,삽교호함상공원,126.8261565,36.88984104,42110,4;22;26,1.0,4.333333333333333
POI010000006YMJ8D,기념품향원슈퍼,,,48850,3;22;1,2.0,3.0
POI01000000AMQK9B,요트경기장,,,26350,5;23;1,2.0,5.0
POI010000006B4R8G,파스텔모텔,,,11620,,,2.3333333333333335
POI01000000BT3Z68,성당휴게소,128.5565665,35.85212458,27290,,,2.6666666666666665
POI010000006XO25U,노적봉예술공원,126.3815751,34.7885582,42800,3;9;24,2.0,3.3333333333333335
POI01000000BZFDHF,황악산하야로비공원,128.008975,36.1176807,47150,3;10;22,1.0,5.0
POI010000006N2TVF,광교호수공원,127.0669335,37.28436526,48170,11;21;12,1.0,5.0
POI0100000076CL17,쥬디스본관샌프란시스코치과유로진남성의원,,,26230,1;3;5,4.0,5.0
POI01000000BGMYZ6,화성행궁,127.0140412,37.2819145,42190,28;1;22,1.0,3.0
POI01000000AKTUXA,정란각,126.5279042,33.29193935,26170,24;1;22,1.0,3.6666666666666665
POI01000000B6FU5R,에버랜드스피드웨이,127.2021983,37.29310112,27110,1;3;11,1.0,4.5
POI01000000EFNTW1,여수예술랜드리조트101동오동도,127.7770612,34.69509024,42780,22;9;24,2.0,3.6666666666666665
POI010000006TE5ZD,서랑도예,,,26710,,,3.0
POI01000000764XZ9,우성빌딩,,,48250,10;21;4,1.0,4.666666666666667
POI01000000B4URLH,세계주류마켓,,,42110,1;10;26,2.0,4.666666666666667
POI01000000BS837H,옥사지,127.3398757,34.90741636,48250,3;2;12,2.0,4.0
POI010000006VEQUV,현대상가,,,48123,1;9;22,3.0,3.6666666666666665
POI01000000BZBV4G,KT경주수련원,129.288992,35.8375639,11410,3;4;23,3.0,4.0
POI010000009G04LA,울산대공원,129.2923003,35.52868641,31140,10;21;23,4.0,4.0
POI01000000BYMSN6,학동몽돌해변,128.6414985,34.7747332,31140,,,5.0
POI01000000EHGJ7X,소노캄제주소노호텔앤리조트,126.7920645,33.30555894,47130,22;2;1,2.0,4.0
POI010000006DKTOG,하늘펜션A동,129.314721,37.2851675,42170,25;22;5,2.0,3.6666666666666665
POI0100000073E7NE,중산농원,129.1470273,35.90323415,47130,,,3.3333333333333335
POI01000000DM8TC8,해뜨는마을아파트,,,47111,6;3;1,2.0,3.3333333333333335
POI0100000073GTWB,제이모텔,129.2033694,35.8419178,47130,2;7;4,3.0,3.6666666666666665
POI01000000BFXNSY,용산역,126.9645328,37.52881668,31200,22;23;26,2.0,4.333333333333333
POI01000000AN1OWE,"양산유림노르웨이숲아파트,경비실",,,48330,,,3.3333333333333335
POI0100000076KFMU,2Night호텔,126.8028655,37.55894903,31140,7;22;4,2.0,5.0
POI01000000BY75HY,안성맞춤랜드,127.3101696,37.03304851,42130,,,3.6666666666666665
POI01000000C3CU7O,원주1차이지더원아파트405동,,,42130,,,4.333333333333333
POI010000006B738V,한화리조트,128.327454,37.58132759,41131,2;6;11,2.0,3.6666666666666665
POI01000000B7N1VX,연지공원,128.8688204,35.24638179,48330,,,4.0
POI0100000075Y48I,ST.JOHNSHOTEL,,,42150,23;1;4,2.0,3.666666666666667
POI010000006B9AXT,홍천휴게소서울방향,,,42720,,,3.3333333333333335
POI01000000CARVY2,뉴영보벤처타운A동,,,11530,4;3;6,2.0,4.0
POI0100000075VL1P,LightHousePoint,,,11440,21;7;26,2.0,3.6666666666666665
