항목명(영문),항목명(국문),항목구분,샘플데이터,항목설명
numOfRows,한페이지결과수,0,10,한페이지결과수
pageNo,페이지번호,0,1,현재페이지번호
MobileOS,OS 구분,1,ETC,"IOS (아이폰), AND (안드로이드), WIN (윈도우폰), ETC"
MobileApp,서비스명,1,APPTest,서비스명=어플명
serviceKey,"인증키(서비스키)",1,"인증키(URL-Encode)",공공데이터포털에서 발급받은인증키
_type,"응답메세지 형식",0,,"REST방식의 URL호출시 Json값추가 (디폴트 응답메시지 형식은XML)"
listYN,목록구분,0,Y,"목록구분(Y=목록, N=개수)"
arrange,정렬구분,0,A,"(A=제목순, C=수정일순, D=생성일순) 대표이미지 있는 콘텐츠 우선 정렬 (O=제목순, Q=수정일순, R=생성일순)"
contentTypeId,"관광타입 ID",0,32,"관광타입(관광지, 숙박등) ID"
areaCode,지역코드,0,4,지역코드
sigunguCode,시군구코드,0,4,"시군구코드(areaCode필수)"
cat1,대분류,0,,대분류코드
cat2,중분류,0,,"중분류코드(cat1필수)"
cat3,소분류,0,,"소분류코드(cat1, cat2필수)"
modifiedtime,수정일,0,,콘텐츠 수정일(YYMMDD)
